time_ms, torque_y, torque_z, thrust, torque_x_sp, torque_y_sp, torque_z_sp, thrust_sp, amp_cut_in, phase_lag
1284189, -0.00022, -0.02354, 0.88553, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1284199, -0.00022, -0.02354, 0.88553, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1284209, -0.00022, -0.02354, 0.88553, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1284219, -0.00022, -0.02354, 0.88553, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1284229, -0.00022, -0.02354, 0.88553, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1284239, -0.00022, -0.02354, 0.88553, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1284249, -0.00022, -0.02354, 0.88553, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1284259, -0.00022, -0.02354, 0.88553, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1284269, -0.00022, -0.02354, 0.88553, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1284279, -0.00019, -0.02352, 0.88643, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1284289, -0.00019, -0.02352, 0.88643, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1284299, -0.00019, -0.02352, 0.88643, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1284309, -0.00019, -0.02352, 0.88643, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1284319, -0.00019, -0.02352, 0.88643, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1284329, -0.00019, -0.02352, 0.88643, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1284339, -0.00019, -0.02352, 0.88643, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
